Sentence #,Word,Sentiment,Aspect,Sentiment_Score,Aspect_Score
Sentence 55,안될때도,O,O,0,0
Sentence 55,있고,O,O,0,0
Sentence 55,귀찮아서,O,O,0,0
Sentence 55,그냥,O,O,0,0
Sentence 55,쓰고,O,O,0,0
Sentence 55,있어요,O,O,0,0
Sentence 56,충전시간도,O,O,0,0
Sentence 56,어쩔때는,O,O,0,0
Sentence 56,하루,O,O,0,0
Sentence 56,종일,O,O,0,0
Sentence 56,걸리고,O,O,0,0
Sentence 56,두께도,O,O,0,0
Sentence 56,얇고,O,O,0,0
Sentence 56,모양도,O,O,0,0
Sentence 56,좋은데,O,O,0,0
Sentence 56,아무래도,O,O,0,0
Sentence 56,뽑기를,O,O,0,0
Sentence 56,잘못한듯ㅠㅠ,O,O,0,0
Sentence 57,그립감이,O,O,0,0
Sentence 57,좋고,O,O,0,0
Sentence 57,충전기는,O,O,0,0
Sentence 57,다른것과,O,O,0,0
Sentence 57,차이점은,O,O,0,0
Sentence 57,모르겠어요,O,O,0,0
Sentence 58,잘때,O,O,0,0
Sentence 58,충전안해두고자서,O,O,0,0
Sentence 58,아침이면항상,O,O,0,0
Sentence 58,앵꼬라,O,O,0,0
Sentence 58,충전시키느라,O,O,0,0
Sentence 58,폰볼일포는데,O,O,0,0
Sentence 58,좋아요,O,O,0,0
Sentence 60,삼성이니,O,O,0,0
Sentence 60,별세개,O,O,0,0
Sentence 61,재질이,O,O,0,0
Sentence 61,좋네요,O,O,0,0
Sentence 63,다음에,O,O,0,0
Sentence 63,또,O,O,0,0
Sentence 63,주문하겠습니다,O,O,0,0
Sentence 64,처음에는,O,O,0,0
Sentence 64,속도잘나오다,O,O,0,0
Sentence 64,생각보다,O,O,0,0
Sentence 64,충전속도가,O,O,0,0
Sentence 64,빠르진않네요,O,O,0,0
Sentence 65,조금,O,O,0,0
Sentence 65,무거운,O,O,0,0
Sentence 65,느낌이,O,O,0,0
Sentence 65,주머니가,O,O,0,0
Sentence 65,부담스러워하네,O,O,0,0
Sentence 67,충전속도도,O,O,0,0
Sentence 67,빠는데,O,O,0,0
Sentence 67,핸드폰외의,O,O,0,0
Sentence 67,다른기기에,O,O,0,0
Sentence 67,충전이,O,O,0,0
Sentence 67,안돼요,O,O,0,0
Sentence 69,좀만,O,O,0,0
Sentence 69,더,O,O,0,0
Sentence 69,가벼우면,O,O,0,0
Sentence 69,좋겠습니다,O,O,0,0
Sentence 70,디자인이,O,O,0,0
Sentence 70,예쁩니다,O,O,0,0
Sentence 71,빠른배송,O,O,0,0
Sentence 71,감사합니다,O,O,0,0
Sentence 72,초고속이라더니,O,O,0,0
Sentence 72,아닌것같네요,O,O,0,0
Sentence 73,충전속도가,O,O,0,0
Sentence 73,느린것같네요,O,O,0,0
Sentence 75,삼성정품만,O,O,0,0
Sentence 75,저는,O,O,0,0
Sentence 75,사용합니다,O,O,0,0
Sentence 76,친구꺼빌려써봤다,O,O,0,0
Sentence 77,좋아서,O,O,0,0
Sentence 77,구매해봤는데국내판매제품이아닌가스티커가많이붙여져있네요,O,O,0,0
Sentence 78,배송빨라서,O,O,0,0
Sentence 78,좋지만,O,O,0,0
Sentence 78,제품,O,O,0,0
Sentence 78,표면에,O,O,0,0
Sentence 78,찐득이,O,O,0,0
Sentence 78,같은게,O,O,0,0
Sentence 78,좀,O,O,0,0
Sentence 78,묻어있어서,O,O,0,0
Sentence 78,새제품이,O,O,0,0
Sentence 78,아닌건지,O,O,0,0
Sentence 78,좀,O,O,0,0
Sentence 78,찜찜합니다,O,O,0,0
Sentence 79,완충이,O,O,0,0
Sentence 79,안돼요,O,O,0,0
Sentence 80,하루종일,O,O,0,0
Sentence 80,충전해도,O,O,0,0
Sentence 80,세칸에서,O,O,0,0
Sentence 80,넘어가질,O,O,0,0
Sentence 80,않네요,O,O,0,0
Sentence 81,2개를,O,O,0,0
Sentence 81,"구매하였는데,",O,O,0,0
Sentence 81,하나는,O,O,0,0
Sentence 81,갑자기,O,O,0,0
Sentence 81,방전이,O,O,0,0
Sentence 81,되는,O,O,0,0
Sentence 81,듯,O,O,0,0
Sentence 81,해요,O,O,0,0
Sentence 82,보조배터리는,O,O,0,0
Sentence 82,정품으로,O,O,0,0
Sentence 82,사용하시는걸,O,O,0,0
Sentence 82,권해드려요~,O,O,0,0
Sentence 83,무식하고,O,O,0,0
Sentence 83,투박하게,O,O,0,0
Sentence 83,큽니다,O,O,0,0
Sentence 84,태블릿,O,O,0,0
Sentence 84,충전용으로,O,O,0,0
Sentence 84,삼,O,O,0,0
Sentence 85,배송은,O,O,0,0
Sentence 85,빠른데,O,O,0,0
Sentence 85,초고속충전은,O,O,0,0
Sentence 85,아니네요,O,O,0,0
Sentence 87,배송이,O,O,0,0
Sentence 87,빨라요,O,O,0,0
Sentence 88,충전,O,O,0,0
Sentence 88,연결,O,O,0,0
Sentence 88,케이블이,O,O,0,0
Sentence 88,너무,O,O,0,0
Sentence 88,짧으무,O,O,0,0
Sentence 88,ㅜ,O,O,0,0
Sentence 89,포장,O,O,0,0
Sentence 89,잘되어,O,O,0,0
Sentence 89,빠르게,O,O,0,0
Sentence 89,왔어요,O,O,0,0
Sentence 90,잘,O,O,0,0
Sentence 90,맞아요,O,O,0,0
Sentence 91,깔끔합니다,O,O,0,0
Sentence 92,그럭저럭쓸만합니다,O,O,0,0
Sentence 93,it',O,O,0,0
Sentence 93,s,O,O,0,0
Sentence 93,okay,O,O,0,0
Sentence 94,1박2일용,O,O,0,0
Sentence 94,정도,O,O,0,0
Sentence 94,용량입니다,O,O,0,0
Sentence 95,보조배터리에서,O,O,0,0
Sentence 95,휴대폰,O,O,0,0
Sentence 95,충전시,O,O,0,0
Sentence 95,보조배터리의,O,O,0,0
Sentence 95,잔량표시가,O,O,0,0
Sentence 95,없어서,O,O,0,0
Sentence 95,불편함,O,O,0,0
Sentence 97,너무,O,O,0,0
Sentence 97,무거워요,O,O,0,0
Sentence 97,ㅠㅠ,O,O,0,0
Sentence 97,쫌ㅜㅜ,O,O,0,0
Sentence 99,좀,O,O,0,0
Sentence 99,무거워요,O,O,0,0
Sentence 99,ㅜㅜㅜ,O,O,0,0
